subject,predicate,object
Activism book,has type,book
Activism book,has title,100 Days of Active Resistance
Activism book,has date of publication,2011
Activism book,has language,english
Activism book,has publisher,Damiani
Activism book,has subject,activism
Activism book,has subject,photography
Activism book,has height,23 cm
Activism book,has width,23 cm
Activism book,is held by,Biblioteca Sala Borsa
Activism book,has place of publication,Bologna
Activism book,has author,Vivienne Westwood
