subject,predicate,object
Tartan,has type,wallpaper
Tartan,has title,Tartan
Tartan,has creator,Cole and Son
Tartan,has material,paper
Tartan,has width,103 mm
Tartan,has height,95 mm
Tartan,is designed by,Vivienne Westwood
Tartan,has date of production,2009
Tartan,has place of production,UK
Tartan,has museum category,wall coverings
Tartan,is held by,Victoria and Albert Museum
