subject,predicate,object
i-D magazine #318,has title,I-D #318
i-D magazine #318,has date of publication,April 2012
i-D magazine #318,is part of,i-D Magazine
i-D magazine #318,has place of publication,London
i-D magazine #318,is held by,Biblioteca Iuav
i-D magazine #318,has publisher,Levelprint Ltd
i-D magazine #318,has type,magazine
i-D magazine #318,has height,30 cm
i-D magazine #318,has subject,Vivienne Westwood
